Datetime,CI_CM,CI_RGB
2023-01-01 00:00:00,0.0,0.0
2023-01-01 00:15:00,0.0,0.0
2023-01-01 00:30:00,0.0,0.0
2023-01-01 00:45:00,0.0,0.0
2023-01-01 01:00:00,0.0,0.0
2023-01-01 01:15:00,0.0,0.0
2023-01-01 01:30:00,0.0,0.0
2023-01-01 01:45:00,0.0,0.0
2023-01-01 02:00:00,0.0,0.0
2023-01-01 02:15:00,0.0,0.0
2023-01-01 02:30:00,0.0,0.0
2023-01-01 02:45:00,0.0,0.0
2023-01-01 03:00:00,0.0,0.0
2023-01-01 03:15:00,0.0,0.0
2023-01-01 03:30:00,0.0,0.0
2023-01-01 03:45:00,0.0,0.0
2023-01-01 04:00:00,0.0,0.0
2023-01-01 04:15:00,0.0,0.0
2023-01-01 04:30:00,0.0,0.0
2023-01-01 04:45:00,0.0,0.0
2023-01-01 05:00:00,0.0,0.0
2023-01-01 05:15:00,0.0,0.0
2023-01-01 05:30:00,0.0,0.0
2023-01-01 05:45:00,0.0,0.0
2023-01-01 06:00:00,52.0,0.0
2023-01-01 06:15:00,36.0,0.0
2023-01-01 06:30:00,53.0,25.5
2023-01-01 06:45:00,39.0,109.0
2023-01-01 07:00:00,22.5,122.5
2023-01-01 07:15:00,25.0,108.0
2023-01-01 07:30:00,15.0,108.5
2023-01-01 07:45:00,7.0,100.0
2023-01-01 08:00:00,7.5,88.0
2023-01-01 08:15:00,8.0,91.0
2023-01-01 08:30:00,4.5,92.5
2023-01-01 08:45:00,0.0,91.0
2023-01-01 09:00:00,0.0,92.0
2023-01-01 09:15:00,0.0,90.0
2023-01-01 09:30:00,0.0,85.5
2023-01-01 09:45:00,0.0,78.0
2023-01-01 10:00:00,0.0,79.0
2023-01-01 10:15:00,0.0,75.0
2023-01-01 10:30:00,0.0,72.5
2023-01-01 10:45:00,0.0,72.0
2023-01-01 11:00:00,6.0,73.0
2023-01-01 11:15:00,41.0,69.0
2023-01-01 11:30:00,22.5,53.0
2023-01-01 11:45:00,0.0,54.0
2023-01-01 12:00:00,0.0,68.5
2023-01-01 12:15:00,0.0,66.0
2023-01-01 12:30:00,0.0,65.5
2023-01-01 12:45:00,0.0,61.0
2023-01-01 13:00:00,0.0,62.5
2023-01-01 13:15:00,0.0,62.0
2023-01-01 13:30:00,0.0,61.0
2023-01-01 13:45:00,0.0,57.0
2023-01-01 14:00:00,0.5,58.0
2023-01-01 14:15:00,1.0,57.0
2023-01-01 14:30:00,2.0,59.5
2023-01-01 14:45:00,1.0,58.0
2023-01-01 15:00:00,3.0,88.0
2023-01-01 15:15:00,2.0,67.0
2023-01-01 15:30:00,0.0,63.0
2023-01-01 15:45:00,3.0,61.0
2023-01-01 16:00:00,5.0,66.0
2023-01-01 16:15:00,7.0,68.0
2023-01-01 16:30:00,1.5,72.5
2023-01-01 16:45:00,0.0,93.0
2023-01-01 17:00:00,0.5,106.5
2023-01-01 17:15:00,2.0,118.0
2023-01-01 17:30:00,3.0,123.5
2023-01-01 17:45:00,4.0,124.0
2023-01-01 18:00:00,5.5,26.5
2023-01-01 18:15:00,13.0,1.0
2023-01-01 18:30:00,11.0,1.0
2023-01-01 18:45:00,12.0,1.0
2023-01-01 19:00:00,12.25,1.5
2023-01-01 19:15:00,16.0,3.0
2023-01-01 19:30:00,18.0,7.5
2023-01-01 19:45:00,18.0,0.0
2023-01-01 20:00:00,0.0,0.0
2023-01-01 20:15:00,0.0,0.0
2023-01-01 20:30:00,0.0,0.0
2023-01-01 20:45:00,0.0,0.0
2023-01-01 21:00:00,0.0,0.0
2023-01-01 21:15:00,0.0,0.0
2023-01-01 21:30:00,0.0,0.0
2023-01-01 21:45:00,0.0,0.0
2023-01-01 22:00:00,0.0,0.0
2023-01-01 22:15:00,0.0,0.0
2023-01-01 22:30:00,0.0,0.0
2023-01-01 22:45:00,0.0,0.0
2023-01-01 23:00:00,0.0,0.0
2023-01-01 23:15:00,0.0,0.0
2023-01-01 23:30:00,0.0,0.0
2023-01-01 23:45:00,0.0,0.0
2023-01-02 00:00:00,0.0,0.0
2023-01-02 00:15:00,0.0,0.0
2023-01-02 00:30:00,0.0,0.0
2023-01-02 00:45:00,0.0,0.0
2023-01-02 01:00:00,0.0,0.0
2023-01-02 01:15:00,0.0,0.0
2023-01-02 01:30:00,0.0,0.0
2023-01-02 01:45:00,0.0,0.0
2023-01-02 02:00:00,0.0,0.0
2023-01-02 02:15:00,0.0,0.0
2023-01-02 02:30:00,0.0,0.0
2023-01-02 02:45:00,0.0,0.0
2023-01-02 03:00:00,0.0,0.0
2023-01-02 03:15:00,0.0,0.0
2023-01-02 03:30:00,0.0,0.0
2023-01-02 03:45:00,0.0,0.0
2023-01-02 04:00:00,0.0,0.0
2023-01-02 04:15:00,0.0,0.0
2023-01-02 04:30:00,0.0,0.0
2023-01-02 04:45:00,0.0,0.0
2023-01-02 05:00:00,0.0,0.0
2023-01-02 05:15:00,0.0,0.0
2023-01-02 05:30:00,0.0,0.0
2023-01-02 05:45:00,0.0,0.0
2023-01-02 06:00:00,44.5,0.0
2023-01-02 06:15:00,35.0,0.0
2023-01-02 06:30:00,31.5,24.5
2023-01-02 06:45:00,31.0,112.0
2023-01-02 07:00:00,35.0,123.5
2023-01-02 07:15:00,32.0,95.0
2023-01-02 07:30:00,37.0,98.5
2023-01-02 07:45:00,53.0,119.0
2023-01-02 08:00:00,56.5,103.0
